occ.bio1,occ.bio6,occ.bio11,co.mean.elev,co.max.elev,co.min.elev,pam.bio1,pam.bio5,pam.bio6,pam.bio10,pam.bio11,binom,CO.sample.size,co.elev.breadth,co.mid.elev
77.51351351,-113.6756757,-26.45945946,1782.864865,2660,1433,81.67655724,284.6416246,-101.2172769,183.2059133,-17.08512205,Pardosa steva,37,1227,2046.5
21.76923077,-165.2307692,-76.92307692,2623.538462,3170,2245,32.16666667,250.5151515,-157.1161616,148.2525253,-77.75,Pardosa tesquorum,13,925,2707.5
7.787878788,-159.9545455,-83.71212121,3228.738462,3510,2562,34.57575758,244.2676768,-150.1262626,140.3005051,-67.4520202,Pardosa uintana,65,948,3036
14.125,-161.0833333,-80.29166667,2930.166667,3658,2140,45.02136752,247.9764957,-130.9273504,146.2628205,-51.82264957,Pardosa uncata,24,1518,2899
25.65714286,-159.6285714,-74.02857143,2561.185714,3261,1804,44.89930556,260.2974537,-141.5474537,152.7835648,-60.03472222,Pardosa utahensis,70,1457,2532.5
81.9,-109.6,-26.5,1756.7,2873,1374,130.4861111,313.5694444,-45.39087302,220.2162698,38.56349206,Pardosa vadosa,10,1499,2123.5
68.625,-116.5,-27.75,1968.75,2298,1629,86.86944444,284.6944444,-97.57777778,183.2888889,-6.280555556,Pardosa valens,8,669,1963.5
9.625,-171,-89.125,2768.875,3261,1978,40.79700855,255.5277778,-138.7628205,148.6388889,-62.27350427,Pardosa wasatchensis,8,1283,2619.5
49.58730159,-137.0634921,-49.52380952,2236.666667,3029,1219,61.53415033,267.7949346,-118.3352397,166.0868192,-39.83660131,Pardosa wyuta,63,1810,2124
67.35955056,-115.2921348,-30.08988764,1930.292135,2880,1415,57.36793541,268.9878412,-129.6980488,167.9162822,-52.4672722,Pardosa xerampelina,89,1465,2147.5
39.13636364,-143.8181818,-57.15151515,2427.704545,2996,1629,80.22318008,285.1312261,-107.2183908,183.045977,-19.48563218,Pardosa yavapa,132,1367,2312.5
